,Arctic herb subzone,northern Arctic dwarf shrub subzone,middle Arctic dwarf shrub subzone,southern Arctic dwarf shrub subzone,Arctic shrub subzone ,Adjacent non-Arctic (Boreal or Boreal-alpine) area,Species occurring in the Arctic,Arctic endemic species (A-E),Borderline species (bEN),Species occuring as stabilized introduction only,Species occuring as native and non native stabilized,Species occurring as non native stabilized and casual,Sspecies occurring as native and non native stabilized and casual,Species occurring both as native and casual,PAF code number of genus
LYCOPODIOPHYTA,,,,,,,,,,,,,,,
01 LYCOPODIACEAE,,,,,,,,,,,,,,,
0101 Lycopodium,,,,,,,,,,,,,,,101
010101a L. annotinum ssp. annotinum,–,–,–,–,R,F,1,,,,,,,,
010101b L. annotinum ssp. alpestre,–,–,R,F,F,S,1,,,,,,,,
010102a L. clavatum ssp. clavatum,–,–,–,–,R,S,1,,,,,,,,
010102b L. clavatum ssp. monostachyon,–,–,–,–,S,F,1,,,,,,,,
010103 L. dendroideum,–,–,–,–,R,F,1,,,,,,,,
0102 Diphasiastrum,,,,,,,,,,,,,,,102
010201a D. complanatum ssp. complanatum,–,–,–,–,R,F,1,,,,,,,,
010201b D. complanatum ssp. montellii,–,–,?,R,R,F,1,,,,,,,,
010202 D. sitchense,–,–,–,–,R,S,1,,,,,,,,
010203 D. alpinum,–,–,R,F,F,F,1,,,,,,,,
0103 Huperzia,,,,,,,,,,,,,,,103
010301 H. selago,–,–,–,–,R,F,1,,,,,,,,
010302 H. appressa,–,R,F,F,F,F,1,,,,,,,,
010303 H. arctica,–,S,F,F,F,S,1,,,,,,,,
010304 H. haleakalae,–,–,–,?,S,F,1,,,,,,,,
010305 H. miyoshiana,–,–,–,–,b,S,1,,1,,,,,,
02 SELAGINELLACEAE,,,,,,,,,,,,,,,
0201 Selaginella,,,,,,,,,,,,,,,201
020101 S. selaginoides,–,–,–,R,F,F,1,,,,,,,,
020102 S. sibirica,–,–,–,R,F,F,1,,,,,,,,
020103 S. rupestris,–,–,–,–,R,S,1,,,,,,,,
,,,,,,,,,,,,,,,
PTERIDOPHYTA,,,,,,,,,,,,,,,
03 ISOETACEAE,,,,,,,,,,,,,,,
0301 Isoetes,,,,,,,,,,,,,,,301
030101 I. lacustris,–,–,–,–,R,F,1,,,,,,,,
030102 I. echinospora,–,–,–,–,R,F,1,,,,,,,,
030103 I. muricata,–,–,–,–,R,F,1,,,,,,,,
04 EQUISETACEAE,,,,,,,,,,,,,,,
0401 Equisetum,,,,,,,,,,,,,,,401
040101 E. fluviatile,–,–,–,?,F,F,1,,,,,,,,
040102 E. palustre,–,–,–,?,S,F,1,,,,,,,,
040103 E. pratense,–,–,–,?,S,F,1,,,,,,,,
040104 E. sylvaticum,–,–,–,R,S,F,1,,,,,,,,
040105a E. arvense ssp. arvense,–,–,–,?,F,F,1,,,,,,,1,
040105b E. arvense ssp. alpestre,R,F,F,F,R,R,1,,,,,,,,
040106a E. hyemale ssp. hyemale,–,–,–,–,R,F,1,,,,,,,,
040106b E. hyemale ssp. affine,–,–,–,–,b,S,1,,1,,,,,,
040107 E. x trachyodon,–,–,–,?,X,X,1,,,,,,,,
040108a E. variegatum ssp. variegatum,R,F,F,F,F,F,1,,,,,,,,
040108b E. variegatum ssp. alaskanum,–,–,–,–,b,F,1,,1,,,,,,
040109 E. scirpoides,–,–,F,F,F,F,1,,,,,,,,
05 OPHIOGLOSSACEAE,,,,,,,,,,,,,,,
0501 Botrychium,,,,,,,,,,,,,,,501
050101 B. virginianum,–,–,–,–,b,S,1,,1,,,,,,
050102 B. multifidum (ssp. multifidum),–,–,–,–,R,S,1,,,,,,,,
050103 B. lanceolatum (ssp. lanceolatum),–,–,?,R,R,S,1,,,,,,,,
050104 B. boreale,–,–,R,S,F,F,1,,,,,,,,
050105 B. pinnatum,–,–,–,–,R,F,1,,,,,,,,
050106 B. lunaria,–,–,R,F,F,F,1,,,,,,,,
050107 B. minganense,–,–,–,–,R,S,1,,,,,,,,
050108 B. simplex,–,–,–,–,R,R,1,,,,,,,,
0502 Ophioglossum,,,,,,,,,,,,,,,502
050201 O. azoricum,–,–,–,R,–,R,1,,,,,,,,
