Genus,Species_name,Arctic.herb.subzone,northern.Arctic.dwarf.shrub.subzone,middle.Arctic.dwarf.shrub.subzone,southern.Arctic.dwarf.shrub.subzone,Arctic.shrub.subzone,Adjacent.non.Arctic..Boreal.or.Boreal.alpine..area,Species.occurring.in.the.Arctic,Arctic.endemic.species..A.E.,Borderline.species..bEN.,Species.occuring.as.stabilized.introduction.only,Species.occuring.as.native.and.non.native.stabilized,Species.occurring.as.non.native.stabilized.and.casual,Sspecies.occurring.as.native.and.non.native.stabilized.and.casual,Species.occurring.both.as.native.and.casual,PAF.code.number.of.genus
 Lycopodium,a L. annotinum ssp. annotinum,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Lycopodium,b L. annotinum ssp. alpestre,No,No,R,F,F,S,1,,NA,NA,NA,NA,NA,NA,NA
 Lycopodium,a L. clavatum ssp. clavatum,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Lycopodium,b L. clavatum ssp. monostachyon,No,No,No,No,S,F,1,,NA,NA,NA,NA,NA,NA,NA
 Lycopodium, L. dendroideum,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Diphasiastrum,a D. complanatum ssp. complanatum,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Diphasiastrum,b D. complanatum ssp. montellii,No,No,?,R,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Diphasiastrum, D. sitchense,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Diphasiastrum, D. alpinum,No,No,R,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Huperzia, H. selago,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Huperzia, H. appressa,No,R,F,F,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Huperzia, H. arctica,No,S,F,F,F,S,1,,NA,NA,NA,NA,NA,NA,NA
 Huperzia, H. haleakalae,No,No,No,?,S,F,1,,NA,NA,NA,NA,NA,NA,NA
 Huperzia, H. miyoshiana,No,No,No,No,b,S,1,,1,NA,NA,NA,NA,NA,NA
 Selaginella, S. selaginoides,No,No,No,R,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Selaginella, S. sibirica,No,No,No,R,F,F,1,,NA,NA,NA,NA,NA,NA,NA
 Selaginella, S. rupestris,No,No,No,No,R,S,1,,NA,NA,NA,NA,NA,NA,NA
 Isoetes, I. lacustris,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
 Isoetes, I. echinospora,No,No,No,No,R,F,1,,NA,NA,NA,NA,NA,NA,NA
