"","SiteSubsitePlot","Class","CoverChange","Duration"
"1","ABISKO:ABISKODRY_PADDUS:CTL_1","Boreal",0,6
"2","ABISKO:ABISKODRY_PADDUS:CTL_1","Cosmopolitan",0.584795321637427,6
"3","ABISKO:ABISKODRY_PADDUS:CTL_1","High_Low_Arctic",0,6
"4","ABISKO:ABISKODRY_PADDUS:CTL_1","Low_Arctic",0,6
"5","ABISKO:ABISKODRY_PADDUS:CTL_1","Low_Arctic_Boreal",-0.584795321637427,6
"6","ABISKO:ABISKODRY_PADDUS:CTL_2","Boreal",-0.141242937853107,6
"7","ABISKO:ABISKODRY_PADDUS:CTL_2","Cosmopolitan",-4.7973039944494,6
"8","ABISKO:ABISKODRY_PADDUS:CTL_2","High_Low_Arctic",0,6
"9","ABISKO:ABISKODRY_PADDUS:CTL_2","Low_Arctic",0,6
"10","ABISKO:ABISKODRY_PADDUS:CTL_2","Low_Arctic_Boreal",4.93854693230251,6
"11","ABISKO:ABISKODRY_PADDUS:CTL_3","Boreal",-0.294985250737463,6
"12","ABISKO:ABISKODRY_PADDUS:CTL_3","Cosmopolitan",-2.05495343210368,6
"13","ABISKO:ABISKODRY_PADDUS:CTL_3","High_Low_Arctic",0,6
"14","ABISKO:ABISKODRY_PADDUS:CTL_3","Low_Arctic",0,6
"15","ABISKO:ABISKODRY_PADDUS:CTL_3","Low_Arctic_Boreal",2.34993868284114,6
"16","ABISKO:ABISKODRY_PADDUS:CTL_4","Boreal",0,6
"17","ABISKO:ABISKODRY_PADDUS:CTL_4","Cosmopolitan",1.90588235294118,6
"18","ABISKO:ABISKODRY_PADDUS:CTL_4","High_Low_Arctic",0,6
"19","ABISKO:ABISKODRY_PADDUS:CTL_4","Low_Arctic",0,6
"20","ABISKO:ABISKODRY_PADDUS:CTL_4","Low_Arctic_Boreal",-1.90588235294118,6
"21","ABISKO:ABISKODRY_PADDUS:CTL_5","Boreal",0,6
"22","ABISKO:ABISKODRY_PADDUS:CTL_5","Cosmopolitan",1.45502645502646,6
"23","ABISKO:ABISKODRY_PADDUS:CTL_5","High_Low_Arctic",0,6
"24","ABISKO:ABISKODRY_PADDUS:CTL_5","Low_Arctic",0,6
"25","ABISKO:ABISKODRY_PADDUS:CTL_5","Low_Arctic_Boreal",-1.45502645502646,6
"26","ABISKO:ABISKODRY_PADDUS:CTL_6","Boreal",0,6
"27","ABISKO:ABISKODRY_PADDUS:CTL_6","Cosmopolitan",-0.701992753623188,6
"28","ABISKO:ABISKODRY_PADDUS:CTL_6","High_Low_Arctic",0,6
"29","ABISKO:ABISKODRY_PADDUS:CTL_6","Low_Arctic",0,6
"30","ABISKO:ABISKODRY_PADDUS:CTL_6","Low_Arctic_Boreal",0.701992753623189,6
"31","ABISKO:ABISKOWET_FLUX:1_CTL","Boreal",0,6
"32","ABISKO:ABISKOWET_FLUX:1_CTL","Cosmopolitan",-0.0920174833218302,6
"33","ABISKO:ABISKOWET_FLUX:1_CTL","High_Low_Arctic",0,6
"34","ABISKO:ABISKOWET_FLUX:1_CTL","Low_Arctic",0,6
"35","ABISKO:ABISKOWET_FLUX:1_CTL","Low_Arctic_Boreal",0.0920174833218302,6
"36","ABISKO:ABISKOWET_FLUX:2_CTL","Boreal",0,6
"37","ABISKO:ABISKOWET_FLUX:2_CTL","Cosmopolitan",-2.42620669449938,6
"38","ABISKO:ABISKOWET_FLUX:2_CTL","High_Low_Arctic",0,6
"39","ABISKO:ABISKOWET_FLUX:2_CTL","Low_Arctic",0,6
"40","ABISKO:ABISKOWET_FLUX:2_CTL","Low_Arctic_Boreal",2.42620669449938,6
"41","ABISKO:ABISKOWET_FLUX:3_CTL","Boreal",0,6
"42","ABISKO:ABISKOWET_FLUX:3_CTL","Cosmopolitan",0.393404488232074,6
"43","ABISKO:ABISKOWET_FLUX:3_CTL","High_Low_Arctic",0,6
"44","ABISKO:ABISKOWET_FLUX:3_CTL","Low_Arctic",0,6
"45","ABISKO:ABISKOWET_FLUX:3_CTL","Low_Arctic_Boreal",-0.393404488232074,6
"46","ABISKO:ABISKOWET_FLUX:4_CTL","Boreal",0,6
"47","ABISKO:ABISKOWET_FLUX:4_CTL","Cosmopolitan",1.28292606649893,6
"48","ABISKO:ABISKOWET_FLUX:4_CTL","High_Low_Arctic",0,6
"49","ABISKO:ABISKOWET_FLUX:4_CTL","Low_Arctic",0,6
"50","ABISKO:ABISKOWET_FLUX:4_CTL","Low_Arctic_Boreal",-1.28292606649893,6
"51","ABISKO:ABISKOWET_FLUX:5_CTL","Boreal",0,6
"52","ABISKO:ABISKOWET_FLUX:5_CTL","Cosmopolitan",0.466632934165401,6
"53","ABISKO:ABISKOWET_FLUX:5_CTL","High_Low_Arctic",0,6
"54","ABISKO:ABISKOWET_FLUX:5_CTL","Low_Arctic",0,6
"55","ABISKO:ABISKOWET_FLUX:5_CTL","Low_Arctic_Boreal",-0.466632934165401,6
"56","ABISKO:ABISKOWET_FLUX:6_CTL","Boreal",0,6
"57","ABISKO:ABISKOWET_FLUX:6_CTL","Cosmopolitan",0.572684972132741,6
"58","ABISKO:ABISKOWET_FLUX:6_CTL","High_Low_Arctic",0,6
"59","ABISKO:ABISKOWET_FLUX:6_CTL","Low_Arctic",0,6
"60","ABISKO:ABISKOWET_FLUX:6_CTL","Low_Arctic_Boreal",-0.57268497213274,6
"61","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1","Boreal",0,9
"62","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1","Cosmopolitan",1.01733447001989,9
"63","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1","High_Low_Arctic",0,9
"64","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1","Low_Arctic",0,9
"65","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1","Low_Arctic_Boreal",-1.01733447001989,9
"66","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2","Boreal",0,9
"67","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2","Cosmopolitan",-1.31509672794076,9
"68","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2","High_Low_Arctic",0,9
"69","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2","Low_Arctic",0,9
"70","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2","Low_Arctic_Boreal",1.31509672794076,9
"71","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3","Boreal",0,9
"72","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3","Cosmopolitan",0.123456790123457,9
"73","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3","High_Low_Arctic",0,9
"74","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3","Low_Arctic",0,9
"75","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3","Low_Arctic_Boreal",-0.123456790123457,9
"76","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl4","Boreal",0.0974658869395711,9
"77","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl4","Cosmopolitan",0.980918146538618,9
"78","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl4","High_Low_Arctic",0,9
"79","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl4","Low_Arctic",0,9
"80","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl4","Low_Arctic_Boreal",-1.07838403347819,9
"81","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl5","Boreal",0.116959064327485,9
"82","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl5","Cosmopolitan",0.964232286141711,9
"83","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl5","High_Low_Arctic",0,9
"84","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl5","Low_Arctic",0,9
"85","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl5","Low_Arctic_Boreal",-1.0811913504692,9
"86","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl6","Boreal",0,9
"87","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl6","Cosmopolitan",1.74386662877712,9
"88","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl6","High_Low_Arctic",0,9
"89","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl6","Low_Arctic",0,9
"90","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl6","Low_Arctic_Boreal",-1.74386662877711,9
"91","ABISKO:PEATLAND:AA1","Boreal",0,13
"92","ABISKO:PEATLAND:AA1","Cosmopolitan",-1.20493843644202,13
"93","ABISKO:PEATLAND:AA1","High_Low_Arctic",0,13
"94","ABISKO:PEATLAND:AA1","Low_Arctic",0,13
"95","ABISKO:PEATLAND:AA1","Low_Arctic_Boreal",1.20493843644202,13
"96","ABISKO:PEATLAND:AA2","Boreal",0,13
"97","ABISKO:PEATLAND:AA2","Cosmopolitan",-0.126030197629243,13
