"","ID","LAT","LONG","year","annual_prec"
"1",1,78.87448,-75.78341,"1979",191.39
"2",1,78.87448,-75.78341,"1980",93.53
"3",1,78.87448,-75.78341,"1981",232.13
"4",1,78.87448,-75.78341,"1982",155.76
"5",1,78.87448,-75.78341,"1983",169.15
"6",1,78.87448,-75.78341,"1984",147.3
"7",1,78.87448,-75.78341,"1985",220.71
"8",1,78.87448,-75.78341,"1986",238.24
"9",1,78.87448,-75.78341,"1987",208.91
"10",1,78.87448,-75.78341,"1988",142.81
"11",1,78.87448,-75.78341,"1989",215.91
"12",1,78.87448,-75.78341,"1990",151.6
"13",1,78.87448,-75.78341,"1991",221.89
"14",1,78.87448,-75.78341,"1992",112.4
"15",1,78.87448,-75.78341,"1993",114.16
"16",1,78.87448,-75.78341,"1994",169.53
"17",1,78.87448,-75.78341,"1995",228.82
"18",1,78.87448,-75.78341,"1996",239.88
"19",1,78.87448,-75.78341,"1997",230.55
"20",1,78.87448,-75.78341,"1998",197.82
"21",1,78.87448,-75.78341,"1999",111.89
"22",1,78.87448,-75.78341,"2000",196.06
"23",1,78.87448,-75.78341,"2001",188.8
"24",1,78.87448,-75.78341,"2002",223.66
"25",1,78.87448,-75.78341,"2003",169.06
"26",1,78.87448,-75.78341,"2004",250.33
"27",1,78.87448,-75.78341,"2005",142.75
"28",1,78.87448,-75.78341,"2006",173.71
"29",1,78.87448,-75.78341,"2007",115.48
"30",1,78.87448,-75.78341,"2008",145.03
"31",1,78.87448,-75.78341,"2009",185.52
"32",1,78.87448,-75.78341,"2010",207.96
"33",1,78.87448,-75.78341,"2011",141.06
"34",1,78.87448,-75.78341,"2012",236.47
"35",1,78.87448,-75.78341,"2013",217.46
"36",1,78.87448,-75.78341,"2014",136.63
"37",1,78.87448,-75.78341,"2015",233.13
"38",1,78.87448,-75.78341,"2016",244.29
"39",1,78.87448,-75.78341,"2017",254.2
"40",1,78.87448,-75.78341,"2018",188.4
"41",2,78.71061,16.45535,"1979",461.41
"42",2,78.71061,16.45535,"1980",533.1
"43",2,78.71061,16.45535,"1981",583
"44",2,78.71061,16.45535,"1982",357.5
"45",2,78.71061,16.45535,"1983",395.17
"46",2,78.71061,16.45535,"1984",566.03
"47",2,78.71061,16.45535,"1985",433
"48",2,78.71061,16.45535,"1986",461.76
"49",2,78.71061,16.45535,"1987",426.7
"50",2,78.71061,16.45535,"1988",349.58
"51",2,78.71061,16.45535,"1989",445.35
"52",2,78.71061,16.45535,"1990",504.22
"53",2,78.71061,16.45535,"1991",557.86
"54",2,78.71061,16.45535,"1992",467.76
"55",2,78.71061,16.45535,"1993",661.34
"56",2,78.71061,16.45535,"1994",464.8
"57",2,78.71061,16.45535,"1995",406.63
"58",2,78.71061,16.45535,"1996",608.39
"59",2,78.71061,16.45535,"1997",429.62
"60",2,78.71061,16.45535,"1998",305.97
"61",2,78.71061,16.45535,"1999",440.2
"62",2,78.71061,16.45535,"2000",530.26
"63",2,78.71061,16.45535,"2001",442.88
"64",2,78.71061,16.45535,"2002",472.94
"65",2,78.71061,16.45535,"2003",373.38
"66",2,78.71061,16.45535,"2004",446.43
"67",2,78.71061,16.45535,"2005",444.41
"68",2,78.71061,16.45535,"2006",494.66
"69",2,78.71061,16.45535,"2007",507.78
"70",2,78.71061,16.45535,"2008",554.21
"71",2,78.71061,16.45535,"2009",446.72
"72",2,78.71061,16.45535,"2010",426.9
"73",2,78.71061,16.45535,"2011",597.49
"74",2,78.71061,16.45535,"2012",727.6
"75",2,78.71061,16.45535,"2013",557.22
"76",2,78.71061,16.45535,"2014",501.79
"77",2,78.71061,16.45535,"2015",696.01
"78",2,78.71061,16.45535,"2016",872.13
"79",2,78.71061,16.45535,"2017",544.56
"80",2,78.71061,16.45535,"2018",817.49
"81",3,78.64935,16.19464,"1979",381.94
"82",3,78.64935,16.19464,"1980",446.12
"83",3,78.64935,16.19464,"1981",489.2
"84",3,78.64935,16.19464,"1982",295.28
"85",3,78.64935,16.19464,"1983",326.39
"86",3,78.64935,16.19464,"1984",473.4
"87",3,78.64935,16.19464,"1985",366.03
"88",3,78.64935,16.19464,"1986",393.41
"89",3,78.64935,16.19464,"1987",359.82
"90",3,78.64935,16.19464,"1988",298.61
"91",3,78.64935,16.19464,"1989",369.18
"92",3,78.64935,16.19464,"1990",398.12
"93",3,78.64935,16.19464,"1991",472.57
"94",3,78.64935,16.19464,"1992",392.37
"95",3,78.64935,16.19464,"1993",559.93
"96",3,78.64935,16.19464,"1994",388.68
"97",3,78.64935,16.19464,"1995",333.49
"98",3,78.64935,16.19464,"1996",503.53
"99",3,78.64935,16.19464,"1997",359.59
"100",3,78.64935,16.19464,"1998",245.21
"101",3,78.64935,16.19464,"1999",350.8
"102",3,78.64935,16.19464,"2000",434.67
"103",3,78.64935,16.19464,"2001",373.07
"104",3,78.64935,16.19464,"2002",401.81
"105",3,78.64935,16.19464,"2003",315.24
"106",3,78.64935,16.19464,"2004",358.31
"107",3,78.64935,16.19464,"2005",347.72
"108",3,78.64935,16.19464,"2006",392.54
"109",3,78.64935,16.19464,"2007",402.25
"110",3,78.64935,16.19464,"2008",447.85
"111",3,78.64935,16.19464,"2009",352.41
"112",3,78.64935,16.19464,"2010",351.51
"113",3,78.64935,16.19464,"2011",484.77
"114",3,78.64935,16.19464,"2012",582.59
"115",3,78.64935,16.19464,"2013",468.14
"116",3,78.64935,16.19464,"2014",411.35
"117",3,78.64935,16.19464,"2015",558.02
"118",3,78.64935,16.19464,"2016",707.98
"119",3,78.64935,16.19464,"2017",444.45
"120",3,78.64935,16.19464,"2018",668.24
"121",4,61.63542,12.6375,"1979",1309.53
"122",4,61.63542,12.6375,"1980",1275.43
"123",4,61.63542,12.6375,"1981",1130.32
"124",4,61.63542,12.6375,"1982",1130.22
"125",4,61.63542,12.6375,"1983",1033.92
"126",4,61.63542,12.6375,"1984",1341.21
"127",4,61.63542,12.6375,"1985",1517.76
"128",4,61.63542,12.6375,"1986",1455.45
"129",4,61.63542,12.6375,"1987",1510.3
"130",4,61.63542,12.6375,"1988",1313.97
"131",4,61.63542,12.6375,"1989",1216.05
"132",4,61.63542,12.6375,"1990",1290.02
"133",4,61.63542,12.6375,"1991",1046.05
"134",4,61.63542,12.6375,"1992",1340.26
"135",4,61.63542,12.6375,"1993",1310.28
"136",4,61.63542,12.6375,"1994",1060.92
"137",4,61.63542,12.6375,"1995",1089.85
"138",4,61.63542,12.6375,"1996",1100.74
"139",4,61.63542,12.6375,"1997",1268.64
"140",4,61.63542,12.6375,"1998",1245.96
"141",4,61.63542,12.6375,"1999",1250.04
"142",4,61.63542,12.6375,"2000",1718.38
"143",4,61.63542,12.6375,"2001",1365.25
"144",4,61.63542,12.6375,"2002",1155.99
"145",4,61.63542,12.6375,"2003",1106.89
"146",4,61.63542,12.6375,"2004",1129.67
"147",4,61.63542,12.6375,"2005",1319.34
"148",4,61.63542,12.6375,"2006",1385.58
"149",4,61.63542,12.6375,"2007",1095.24
"150",4,61.63542,12.6375,"2008",1310.49
"151",4,61.63542,12.6375,"2009",1325.74
"152",4,61.63542,12.6375,"2010",1173.73
"153",4,61.63542,12.6375,"2011",1447.2
"154",4,61.63542,12.6375,"2012",1495.67
"155",4,61.63542,12.6375,"2013",1183.89
"156",4,61.63542,12.6375,"2014",1405.27
"157",4,61.63542,12.6375,"2015",1687.02
"158",4,61.63542,12.6375,"2016",1275.57
"159",4,61.63542,12.6375,"2017",1275.69
"160",4,61.63542,12.6375,"2018",984.06
"161",5,62.10253,12.34458,"1979",997.2
"162",5,62.10253,12.34458,"1980",1088.85
"163",5,62.10253,12.34458,"1981",1032.69
"164",5,62.10253,12.34458,"1982",868.65
"165",5,62.10253,12.34458,"1983",1019.53
"166",5,62.10253,12.34458,"1984",1191.16
"167",5,62.10253,12.34458,"1985",1205.44
"168",5,62.10253,12.34458,"1986",1125.9
"169",5,62.10253,12.34458,"1987",1391.68
"170",5,62.10253,12.34458,"1988",1170.02
"171",5,62.10253,12.34458,"1989",912.09
"172",5,62.10253,12.34458,"1990",973.27
"173",5,62.10253,12.34458,"1991",818.58
"174",5,62.10253,12.34458,"1992",1060.41
"175",5,62.10253,12.34458,"1993",1076.62
"176",5,62.10253,12.34458,"1994",879.95
"177",5,62.10253,12.34458,"1995",928.09
"178",5,62.10253,12.34458,"1996",954.69
"179",5,62.10253,12.34458,"1997",1143.5
"180",5,62.10253,12.34458,"1998",1150.48
"181",5,62.10253,12.34458,"1999",1047.54
"182",5,62.10253,12.34458,"2000",1356.22
"183",5,62.10253,12.34458,"2001",1152.62
"184",5,62.10253,12.34458,"2002",931.71
"185",5,62.10253,12.34458,"2003",956.98
"186",5,62.10253,12.34458,"2004",916.49
"187",5,62.10253,12.34458,"2005",1072.7
"188",5,62.10253,12.34458,"2006",1142.77
"189",5,62.10253,12.34458,"2007",979.11
"190",5,62.10253,12.34458,"2008",1105.74
"191",5,62.10253,12.34458,"2009",1087.97
"192",5,62.10253,12.34458,"2010",1010.61
"193",5,62.10253,12.34458,"2011",1252.26
"194",5,62.10253,12.34458,"2012",1167.58
"195",5,62.10253,12.34458,"2013",860.54
"196",5,62.10253,12.34458,"2014",1132.99
"197",5,62.10253,12.34458,"2015",1220.18
"198",5,62.10253,12.34458,"2016",951.99
"199",5,62.10253,12.34458,"2017",932.05
"200",5,62.10253,12.34458,"2018",716.22
"201",6,62.11508,12.27236,"1979",969.38
