"","ID","LAT","LONG","prec_clim"
"1",1,78.87448,-75.78341,186.1095
"2",2,78.71061,16.45535,507.85625
"3",3,78.64935,16.19464,417.66475
"4",4,61.63542,12.6375,1276.93975
"5",5,62.10253,12.34458,1049.57675
"6",6,62.11508,12.27236,1025.174
"7",7,67.77306,17.53611,1141.38025
"8",8,60.9335,6.41504,3139.37275
"9",9,61.0243,8.12343,1018.68725
"10",10,60.8231,7.27596,2060.983
"11",11,60.8328,7.17561,2027.1915
"12",12,68.20462,18.49582,918.73325
"13",13,68.358087,18.812886,730.9305
"14",14,69.9535,-144.8089944,359.96375
"15",15,69.656,-144.1926883,502.963
"16",16,69.8501,-144.1083833,392.0525
"17",17,69.9599,-144.0597167,358.94125
"18",18,69.9467,-144.0644667,364.9675
"19",19,70.0803,-143.1433333,297.09675
"20",20,70.083556,-143.141944,287.0235
"21",21,70.084,-143.1358333,281.2885
"22",22,69.7958,-144.809025,416.9565
"23",23,69.7977,-144.8061194,418.4265
"24",24,69.789,-144.81572,421.68225
"25",25,69.7981,-144.83792,417.93475
"26",26,69.8937,-142.8705,363.06575
"27",27,69.9711,-143.90396,347.28625
"28",28,69.971,-143.90482,347.28625
"29",29,69.8307,-143.7787667,399.65125
"30",30,69.8269,-143.7653167,397.04625
"31",31,69.9699,-143.94212,350.54125
"32",32,69.97,-143.9387361,350.15975
"33",33,69.9698,-143.9126,348.069
"34",34,69.9754,-144.05095,350.47975
"35",35,69.9775,-144.01674,346.69625
"36",36,69.6954,-144.3603167,463.33175
"37",37,69.7059,-144.3684167,456.06875
"38",38,69.7327,-144.3397667,442.04775
"39",39,69.7304,-144.3366167,442.04775
"40",40,64.57,-18.6,1611.776
"41",41,61.56,-135.13,340.5975
"42",42,68.3284,18.8356,759.42075
"43",43,68.3244,18.8417,772.12675
"44",44,68.3145,18.858,788.772
"45",45,68.3133,18.863,791.1065
"46",46,69.74879,23.98744,677.28025
"47",47,69.75137,23.98674,692.5465
"48",48,69.74737,23.99619,682.08075
"49",49,69.75033,23.99425,699.489
"50",50,69.27,-53.45,713.953
"51",51,69.068,20.8199,763.329
"52",52,68.35572,18.49531,1355.4055
"53",53,68.35683,18.49756,1355.4055
"54",54,68.3551536,18.4913635,1363.70825
"55",55,68.1933,18.5115,913.58875
"56",56,78.19,15.93,335.723
"57",57,68.35,18.49,1363.70825
"58",58,68.35,18.65,1109.49875
"59",59,68.62,-149.61,556.6715
"60",60,67.1103,-50.344,284.314
"61",61,67.11377,-50.337,285.86075
"62",62,74.47427,-20.52895,392.038
"63",63,68.62,-149.28,594.08525
"64",64,68.4746405,-149.3521345,584.79625
"65",65,68.4759725,-149.352222,627.81025
"66",66,68.454758,-149.319503,537.33125
"67",67,69.70312,-143.626875,466.3175
"68",68,69.71159,-143.616045,455.4665
"69",69,68.5734993,-143.7246513,507.0045
"70",70,78.18557,15.74496,438.39625
"71",71,70.81,147.475778,289.4065
"72",72,58.63917,-63.375,1179.55725
"73",73,78.87558,-75.80909,187.0495
"74",74,78.87421,-75.79867,191.5425
"75",75,78.87107,-75.79107,188.80675
"76",76,78.86192,-75.90385,230.00375
"77",77,78.86221,-75.90053,230.00375
"78",78,78.8719,-75.7826,186.1095
"79",79,65.21748,-19.71319,722.39125
"80",80,64.28083,-21.06941,1575.48075
"81",81,69.57488,-138.86347,352.918
"82",82,69.57646,-138.86774,367.86875
"83",83,70.45373011,-157.4073879,281.95975
"84",84,70.45303348,-157.4003018,281.95975
"85",85,71.31502696,-156.6010247,280.61225
"86",86,71.31051842,-156.5978987,278.62475
"87",87,70.451449,-157.403942,281.95975
"88",88,71.310312,-156.592799,278.62475
