"","SPECIES_CLEAN","TimesColonised","MeanCoverChange","ConfidenceIntervals","n","ClassShort","FunctionalGroup","PlantHeight"
"1","Empetrum nigrum",72,0.265141870343489,0.159547364529074,469,"U","Shrub",0.100249824067558
"2","Persicaria vivipara",67,0.0770932647014605,0.115770607575459,345,"U","Forb",0.0903456221198157
"3","Carex bigelowii",62,-0.0822595557455416,0.0661881034122623,536,"BTB","Graminoid",0.0947931570762053
"4","Betula nana",56,0.0449216645829918,0.128661455951775,381,"BTB","Shrub",0.190244885162492
"5","Phyllodoce caerulea",49,0.107383341036008,0.184122559333364,123,"BTB","Shrub",0.0673737024221453
"6","Vaccinium vitis-idaea",48,-0.00204570597040225,0.0589234270477937,559,"BTB","Shrub",0.0478397057666588
"7","Vaccinium myrtillus",43,0.0173553405631099,0.167040136472203,219,"BTB","Shrub",0.0887548387096774
"8","Silene acaulis",42,-0.384683043135429,0.195038680276089,155,"U","Forb",0.00896862190812721
"9","Harrimanella hypnoides",41,-0.126284024204183,0.166037334273013,110,"BTB","Shrub",0.0146588235294118
"10","Persicaria bistorta",38,-0.0284217040357384,0.0594030269320414,143,"BTB","Forb",NA
"11","Arctagrostis latifolia",36,-0.00492851316739991,0.080340403853147,134,"U","Graminoid",0.258114754098361
"12","Poa arctica",36,0.38677464278024,0.205829177060281,137,"U","Graminoid",0.141703488372093
"13","Stellaria longipes",33,-0.0987500956946977,0.112374607614338,112,"U","Forb",0.0585963302752294
"14","Salix arctica",31,0.226920517013708,0.155397077882781,236,"U","Shrub",0.0413069139966273
"15","Pinguicula vulgaris",30,0.0875497393038198,0.0386709243069992,37,"BTB","Forb",0.0809333333333333
"16","Pedicularis lapponica",29,-0.0494355325752999,0.0785403909424871,61,"BTB","Forb",0.0736842105263158
"17","Thalictrum alpinum",29,-0.0691378559449656,0.124296653970703,78,"BTB","Forb",0.0579191919191919
"18","Cassiope tetragona",27,-0.165776893001659,0.10238776388347,291,"U","Shrub",0.0854478021978022
"19","Rubus chamaemorus",27,-0.0332104945430745,0.0912943417844439,117,"BTB","Forb",0.058206216505895
"20","Petasites frigidus",26,0.131258551852002,0.136756835463463,89,"U","Forb",0.151064814814815
"21","Salix daphnoides",26,-0.261666487678256,0.151334336480111,163,"BTB","Shrub",0.352711934156379
"22","Salix lanata",25,0.282536215338539,0.20065748324137,32,"BTB","Shrub",1.48126582278481
"23","Eriophorum angustifolium",24,0.376250565477911,0.20926133050995,143,"U","Graminoid",0.249234736842105
"24","Vaccinium uliginosum",23,0.0679285448391598,0.103403429426652,188,"U","Shrub",0.111177158273381
"25","Eriophorum vaginatum",23,0.377279773897379,0.126168021057654,222,"BTB","Graminoid",0.18349009009009
"26","Tofieldia pusilla",22,0.00304489354652107,0.0786948103690068,56,"BTB","Forb",0.109153846153846
"27","Deschampsia flexuosa",19,-0.14697561481644,0.13677158835601,200,"BTB","Graminoid",0.12404797979798
"28","Luzula confusa",19,-0.221792279405972,0.0928404852408534,149,"U","Graminoid",0.116708196721311
"29","Luzula nivalis",19,-0.171450456774229,0.137420290975322,96,"A","Graminoid",0.10414552238806
"30","Pyrola grandiflora",19,-0.0159548821135707,0.0673398106202144,49,"U","Forb",0.0484125
"31","Kobresia myosuroides",19,0.113896087216285,0.169387700595147,60,"U","Graminoid",NA
"32","Saxifraga cernua",18,-0.0753248214586908,0.155857381161724,60,"U","Forb",0.10119512195122
"33","Saxifraga hirculus",18,-0.00840641087919426,0.146244940032881,52,"U","Forb",0.175
"34","Calluna vulgaris",18,0.416627128914762,0.406585113563797,105,"BTB","Shrub",0.170161016949153
"35","Micranthes punctata",17,0.000672178975665428,0.0893496663858033,44,"BTB","Forb",NA
"36","Tephroseris integrifolia",17,-0.0331791781409645,0.0605943105166705,51,"BTB","Forb",0.145729674796748
"37","Dupontia fisheri",17,-0.274996829193578,0.389897610540115,83,"U","Graminoid",0.173766871165644
"38","Saxifraga oppositifolia",16,-0.135973692948711,0.29474674568659,65,"U","Forb",NA
"39","Trisetum spicatum",16,0.28798250915842,0.191702088413208,46,"U","Graminoid",0.2435
