"","Species","TimesColonised","Class"
"1","Empetrum nigrum",72,"Cosmopolitan"
"2","Persicaria vivipara",67,"Cosmopolitan"
"3","Carex bigelowii",62,"Low_Arctic_Boreal"
"4","Betula nana",56,"Low_Arctic_Boreal"
"5","Phyllodoce caerulea",49,"Low_Arctic_Boreal"
"6","Vaccinium vitis-idaea",48,"Low_Arctic_Boreal"
"7","Vaccinium myrtillus",43,"Low_Arctic_Boreal"
"8","Silene acaulis",42,"Cosmopolitan"
"9","Harrimanella hypnoides",41,"Low_Arctic_Boreal"
"10","Persicaria bistorta",38,"Low_Arctic_Boreal"
"11","Arctagrostis latifolia",36,"Cosmopolitan"
"12","Poa arctica",36,"Cosmopolitan"
"13","Stellaria longipes",33,"Cosmopolitan"
"14","Salix arctica",31,"Cosmopolitan"
"15","Pinguicula vulgaris",30,"Low_Arctic_Boreal"
"16","Pedicularis lapponica",29,"Low_Arctic_Boreal"
"17","Thalictrum alpinum",29,"Low_Arctic_Boreal"
"18","Cassiope tetragona",27,"Cosmopolitan"
"19","Rubus chamaemorus",27,"Low_Arctic_Boreal"
"20","Petasites frigidus",26,"Cosmopolitan"
"21","Salix daphnoides",26,"Low_Arctic_Boreal"
"22","Salix lanata",25,"Low_Arctic_Boreal"
"23","Eriophorum angustifolium",24,"Cosmopolitan"
"24","Eriophorum vaginatum",23,"Low_Arctic_Boreal"
"25","Vaccinium uliginosum",23,"Cosmopolitan"
"26","Tofieldia pusilla",22,"Low_Arctic_Boreal"
"27","Deschampsia flexuosa",19,"Low_Arctic_Boreal"
"28","Kobresia myosuroides",19,"Cosmopolitan"
"29","Luzula confusa",19,"Cosmopolitan"
"30","Luzula nivalis",19,"High_Low_Arctic"
"31","Pyrola grandiflora",19,"Cosmopolitan"
"32","Calluna vulgaris",18,"Low_Arctic_Boreal"
"33","Saxifraga cernua",18,"Cosmopolitan"
"34","Saxifraga hirculus",18,"Cosmopolitan"
"35","Dupontia fisheri",17,"Cosmopolitan"
"36","Micranthes punctata",17,"Low_Arctic_Boreal"
"37","Tephroseris integrifolia",17,"Low_Arctic_Boreal"
"38","Saxifraga oppositifolia",16,"Cosmopolitan"
"39","Trisetum spicatum",16,"Cosmopolitan"
"40","Carex microcarpa",15,"Cosmopolitan"
"41","Luzula spicata",15,"Low_Arctic_Boreal"
"42","Rhododendron tomentosum",15,"Low_Arctic_Boreal"
"43","Salix polaris",15,"High_Low_Arctic"
"44","Minuartia stricta",14,"Low_Arctic_Boreal"
"45","Oxyria digyna",14,"Cosmopolitan"
"46","Ranunculus nivalis",14,"Cosmopolitan"
"47","Salix herbacea",14,"Cosmopolitan"
"48","Solidago virgaurea",14,"Low_Arctic_Boreal"
"49","Andromeda polifolia",13,"Low_Arctic_Boreal"
"50","Bartsia alpina",13,"Low_Arctic_Boreal"
"51","Hierochloe pauciflora",13,"Cosmopolitan"
"52","Pedicularis hirsuta",13,"Cosmopolitan"
"53","Festuca richardsonii",12,"Cosmopolitan"
"54","Oreojuncus trifidus",12,"Low_Arctic_Boreal"
"55","Salix glauca",12,"Low_Arctic_Boreal"
"56","Arctous alpina",11,"Cosmopolitan"
"57","Hierochloe alpina",11,"Cosmopolitan"
"58","Pedicularis capitata",11,"Cosmopolitan"
"59","Saussurea alpina",11,"Low_Arctic_Boreal"
"60","Armeria maritima",10,"Low_Arctic_Boreal"
"61","Astragalus alpinus",10,"Low_Arctic_Boreal"
"62","Juncus biglumis",10,"Cosmopolitan"
"63","Juniperus communis",10,"Low_Arctic_Boreal"
"64","Sagina nivalis",10,"High_Low_Arctic"
"65","Salix rotundifolia",10,"Low_Arctic_Boreal"
"66","Saussurea angustifolia",10,"Low_Arctic_Boreal"
"67","Viola biflora",10,"Low_Arctic_Boreal"
"68","Agrostis mertensii",9,"Low_Arctic_Boreal"
"69","Diapensia lapponica",9,"Cosmopolitan"
"70","Lysimachia europaea",9,"Low_Arctic_Boreal"
"71","Pedicularis flammea",9,"High_Low_Arctic"
"72","Salix reticulata",9,"Cosmopolitan"
"73","Sibbaldia procumbens",9,"Low_Arctic_Boreal"
"74","Anthoxanthum odoratum",8,"Boreal"
"75","Calamagrostis lapponica",8,"Low_Arctic_Boreal"
"76","Carex rupestris",8,"Cosmopolitan"
"77","Deschampsia cespitosa",8,"Low_Arctic_Boreal"
"78","Dryas integrifolia",8,"Cosmopolitan"
"79","Pedicularis lanata",8,"Cosmopolitan"
"80","Carex fuliginosa",7,"Cosmopolitan"
"81","Festuca ovina",7,"Low_Arctic_Boreal"
"82","Festuca rubra",7,"Cosmopolitan"
"83","Luzula multiflora",7,"Low_Arctic_Boreal"
"84","Micranthes foliolosa",7,"Cosmopolitan"
"85","Potentilla hyparctica",7,"Cosmopolitan"
