"","SiteSubsitePlot","Duration"
"1","ALEXFIORD:CASSIOPE_COVER:ALL",26
"2","FURI:FURI4:FURI4_T1",16
"3","FURI:FURI4:FURI4_T10",16
"4","FURI:FURI4:FURI4_T11",16
"5","FURI:FURI4:FURI4_T12",16
"6","FURI:FURI4:FURI4_T13",16
"7","FURI:FURI4:FURI4_T14",16
"8","FURI:FURI4:FURI4_T15",16
"9","FURI:FURI4:FURI4_T16",16
"10","FURI:FURI4:FURI4_T17",16
"11","FURI:FURI4:FURI4_T18",16
"12","FURI:FURI4:FURI4_T19",16
"13","FURI:FURI4:FURI4_T2",16
"14","FURI:FURI4:FURI4_T20",16
"15","FURI:FURI4:FURI4_T3",16
"16","FURI:FURI4:FURI4_T4",16
"17","FURI:FURI4:FURI4_T5",16
"18","FURI:FURI4:FURI4_T6",16
"19","FURI:FURI4:FURI4_T7",16
"20","FURI:FURI4:FURI4_T8",16
"21","FURI:FURI4:FURI4_T9",16
"22","FURI:FURI5:FURI5_T1",16
"23","FURI:FURI5:FURI5_T10",16
"24","FURI:FURI5:FURI5_T11",16
"25","FURI:FURI5:FURI5_T12",16
"26","FURI:FURI5:FURI5_T13",16
"27","FURI:FURI5:FURI5_T14",16
"28","FURI:FURI5:FURI5_T15",16
"29","FURI:FURI5:FURI5_T16",16
"30","FURI:FURI5:FURI5_T17",16
"31","FURI:FURI5:FURI5_T18",16
"32","FURI:FURI5:FURI5_T19",16
"33","FURI:FURI5:FURI5_T2",16
"34","FURI:FURI5:FURI5_T20",16
"35","FURI:FURI5:FURI5_T3",16
"36","FURI:FURI5:FURI5_T4",16
"37","FURI:FURI5:FURI5_T5",16
"38","FURI:FURI5:FURI5_T6",16
"39","FURI:FURI5:FURI5_T7",16
"40","FURI:FURI5:FURI5_T8",16
"41","FURI:FURI5:FURI5_T9",16
"42","FURI:FURI6:FURI6_T1",16
"43","FURI:FURI6:FURI6_T10",16
"44","FURI:FURI6:FURI6_T11",16
"45","FURI:FURI6:FURI6_T12",16
"46","FURI:FURI6:FURI6_T13",16
"47","FURI:FURI6:FURI6_T14",16
"48","FURI:FURI6:FURI6_T15",16
"49","FURI:FURI6:FURI6_T16",16
"50","FURI:FURI6:FURI6_T17",16
"51","FURI:FURI6:FURI6_T18",16
"52","FURI:FURI6:FURI6_T19",16
"53","FURI:FURI6:FURI6_T2",16
"54","FURI:FURI6:FURI6_T20",16
"55","FURI:FURI6:FURI6_T3",16
"56","FURI:FURI6:FURI6_T4",16
"57","FURI:FURI6:FURI6_T5",16
"58","FURI:FURI6:FURI6_T6",16
"59","FURI:FURI6:FURI6_T7",16
"60","FURI:FURI6:FURI6_T8",16
"61","FURI:FURI6:FURI6_T9",16
"62","LOGH:LOGH2:LOGH2_T1",16
"63","LOGH:LOGH2:LOGH2_T10",16
"64","LOGH:LOGH2:LOGH2_T11",16
"65","LOGH:LOGH2:LOGH2_T12",16
"66","LOGH:LOGH2:LOGH2_T2",16
"67","LOGH:LOGH2:LOGH2_T3",16
"68","LOGH:LOGH2:LOGH2_T4",16
"69","LOGH:LOGH2:LOGH2_T5",16
"70","LOGH:LOGH2:LOGH2_T6",16
"71","LOGH:LOGH2:LOGH2_T7",16
"72","LOGH:LOGH2:LOGH2_T8",16
"73","LOGH:LOGH2:LOGH2_T9",16
"74","LOGH:LOGH4:LOGH4_T1",16
"75","LOGH:LOGH4:LOGH4_T10",16
"76","LOGH:LOGH4:LOGH4_T11",16
"77","LOGH:LOGH4:LOGH4_T12",16
"78","LOGH:LOGH4:LOGH4_T2",16
"79","LOGH:LOGH4:LOGH4_T3",16
"80","LOGH:LOGH4:LOGH4_T4",16
"81","LOGH:LOGH4:LOGH4_T5",16
"82","LOGH:LOGH4:LOGH4_T6",16
"83","LOGH:LOGH4:LOGH4_T7",16
"84","LOGH:LOGH4:LOGH4_T8",16
"85","LOGH:LOGH4:LOGH4_T9",16
"86","LOGH:LOGH5:LOGH5_T1",16
"87","LOGH:LOGH5:LOGH5_T10",16
"88","LOGH:LOGH5:LOGH5_T11",16
"89","LOGH:LOGH5:LOGH5_T12",16
"90","LOGH:LOGH5:LOGH5_T2",16
"91","LOGH:LOGH5:LOGH5_T3",16
"92","LOGH:LOGH5:LOGH5_T4",16
"93","LOGH:LOGH5:LOGH5_T5",16
"94","LOGH:LOGH5:LOGH5_T6",16
"95","LOGH:LOGH5:LOGH5_T7",16
"96","LOGH:LOGH5:LOGH5_T8",16
"97","LOGH:LOGH5:LOGH5_T9",16
"98","LORI:LORI1:LORI1_T1",16
"99","LORI:LORI1:LORI1_T10",16
"100","LORI:LORI1:LORI1_T11",16
"101","LORI:LORI1:LORI1_T12",16
"102","LORI:LORI1:LORI1_T13",16
"103","LORI:LORI1:LORI1_T14",16
"104","LORI:LORI1:LORI1_T15",16
"105","LORI:LORI1:LORI1_T16",16
"106","LORI:LORI1:LORI1_T17",16
"107","LORI:LORI1:LORI1_T18",16
"108","LORI:LORI1:LORI1_T19",16
"109","LORI:LORI1:LORI1_T2",16
"110","LORI:LORI1:LORI1_T20",16
"111","LORI:LORI1:LORI1_T3",16
"112","LORI:LORI1:LORI1_T4",16
"113","LORI:LORI1:LORI1_T5",16
"114","LORI:LORI1:LORI1_T6",16
"115","LORI:LORI1:LORI1_T7",16
"116","LORI:LORI1:LORI1_T8",16
"117","LORI:LORI1:LORI1_T9",16
"118","LORI:LORI3:LORI3_T1",16
"119","LORI:LORI3:LORI3_T10",16
"120","LORI:LORI3:LORI3_T11",16
"121","LORI:LORI3:LORI3_T12",16
"122","LORI:LORI3:LORI3_T13",16
"123","LORI:LORI3:LORI3_T14",16
"124","LORI:LORI3:LORI3_T15",16
"125","LORI:LORI3:LORI3_T16",16
"126","LORI:LORI3:LORI3_T17",16
"127","LORI:LORI3:LORI3_T18",16
"128","LORI:LORI3:LORI3_T19",16
"129","LORI:LORI3:LORI3_T2",16
"130","LORI:LORI3:LORI3_T20",16
"131","LORI:LORI3:LORI3_T3",16
"132","LORI:LORI3:LORI3_T4",16
"133","LORI:LORI3:LORI3_T5",16
"134","LORI:LORI3:LORI3_T6",16
"135","LORI:LORI3:LORI3_T7",16
"136","LORI:LORI3:LORI3_T8",16
"137","LORI:LORI3:LORI3_T9",16
"138","LORI:LORI4:LORI4_T1",16
"139","LORI:LORI4:LORI4_T10",16
"140","LORI:LORI4:LORI4_T11",16
"141","LORI:LORI4:LORI4_T12",16
"142","LORI:LORI4:LORI4_T13",16
"143","LORI:LORI4:LORI4_T14",16
"144","LORI:LORI4:LORI4_T15",16
"145","LORI:LORI4:LORI4_T16",16
"146","LORI:LORI4:LORI4_T17",16
"147","LORI:LORI4:LORI4_T18",16
"148","LORI:LORI4:LORI4_T19",16
"149","LORI:LORI4:LORI4_T2",16
"150","LORI:LORI4:LORI4_T20",16
"151","LORI:LORI4:LORI4_T3",16
"152","LORI:LORI4:LORI4_T4",16
"153","LORI:LORI4:LORI4_T5",16
"154","LORI:LORI4:LORI4_T6",16
"155","LORI:LORI4:LORI4_T7",16
"156","LORI:LORI4:LORI4_T8",16
"157","LORI:LORI4:LORI4_T9",16
"158","RIRI:RIRI2:RIRI2_T1",16
"159","RIRI:RIRI2:RIRI2_T10",16
"160","RIRI:RIRI2:RIRI2_T11",16
"161","RIRI:RIRI2:RIRI2_T12",16
"162","RIRI:RIRI2:RIRI2_T13",16
"163","RIRI:RIRI2:RIRI2_T14",16
"164","RIRI:RIRI2:RIRI2_T15",16
"165","RIRI:RIRI2:RIRI2_T16",16
"166","RIRI:RIRI2:RIRI2_T17",16
"167","RIRI:RIRI2:RIRI2_T18",16
"168","RIRI:RIRI2:RIRI2_T19",16
"169","RIRI:RIRI2:RIRI2_T2",16
"170","RIRI:RIRI2:RIRI2_T20",16
"171","RIRI:RIRI2:RIRI2_T3",16
"172","RIRI:RIRI2:RIRI2_T4",16
"173","RIRI:RIRI2:RIRI2_T5",16
"174","RIRI:RIRI2:RIRI2_T6",16
"175","RIRI:RIRI2:RIRI2_T7",16
"176","RIRI:RIRI2:RIRI2_T8",16
"177","RIRI:RIRI2:RIRI2_T9",16
"178","RIRI:RIRI4:RIRI4_T1",16
"179","RIRI:RIRI4:RIRI4_T10",16
"180","RIRI:RIRI4:RIRI4_T11",16
"181","RIRI:RIRI4:RIRI4_T12",16
"182","RIRI:RIRI4:RIRI4_T13",16
"183","RIRI:RIRI4:RIRI4_T14",16
"184","RIRI:RIRI4:RIRI4_T15",16
"185","RIRI:RIRI4:RIRI4_T16",16
"186","RIRI:RIRI4:RIRI4_T17",16
"187","RIRI:RIRI4:RIRI4_T18",16
"188","RIRI:RIRI4:RIRI4_T19",16
"189","RIRI:RIRI4:RIRI4_T20",16
"190","RIRI:RIRI4:RIRI4_T3",16
"191","RIRI:RIRI4:RIRI4_T4",16
"192","RIRI:RIRI4:RIRI4_T5",16
"193","RIRI:RIRI4:RIRI4_T6",16
"194","RIRI:RIRI4:RIRI4_T7",16
"195","RIRI:RIRI4:RIRI4_T8",16
"196","RIRI:RIRI4:RIRI4_T9",16
"197","RIRI:RIRI6:RIRI6_T1",16
"198","RIRI:RIRI6:RIRI6_T10",16
"199","RIRI:RIRI6:RIRI6_T11",16
"200","RIRI:RIRI6:RIRI6_T12",16
"201","RIRI:RIRI6:RIRI6_T13",16
"202","RIRI:RIRI6:RIRI6_T14",16
"203","RIRI:RIRI6:RIRI6_T15",16
"204","RIRI:RIRI6:RIRI6_T16",16
"205","RIRI:RIRI6:RIRI6_T17",16
"206","RIRI:RIRI6:RIRI6_T18",16
"207","RIRI:RIRI6:RIRI6_T19",16
"208","RIRI:RIRI6:RIRI6_T2",16
"209","RIRI:RIRI6:RIRI6_T20",16
"210","RIRI:RIRI6:RIRI6_T3",16
"211","RIRI:RIRI6:RIRI6_T4",16
"212","RIRI:RIRI6:RIRI6_T5",16
"213","RIRI:RIRI6:RIRI6_T6",16
"214","RIRI:RIRI6:RIRI6_T7",16
"215","RIRI:RIRI6:RIRI6_T8",16
"216","RIRI:RIRI6:RIRI6_T9",16
"217","INCLINE_SKJ:SKJ:SKJ_7_1",5
"218","INCLINE_ULV:ULV:ULV_3_4",5
"219","INCLINE_ULV:ULV:ULV_5_4",5
"220","INCLINE_ULV:ULV:ULV_6_2",5
"221","INCLINE_ULV:ULV:ULV_7_6",5
"222","INCLINE_LAV:LAV:LAV_2_4",5
"223","INCLINE_LAV:LAV:LAV_5_5",5
"224","INCLINE_GUD:GUD:GUD_1_5",5
"225","INCLINE_GUD:GUD:GUD_2_1",5
"226","INCLINE_GUD:GUD:GUD_4_4",5
"227","INCLINE_GUD:GUD:GUD_5_4",5
"228","INCLINE_GUD:GUD:GUD_6_1",5
"229","BILLEFJORDEN:AWS:2",8
"230","BILLEFJORDEN:AWS:4",8
"231","BILLEFJORDEN:AWS:7",8
"232","BILLEFJORDEN:AWS:11",8
"233","BILLEFJORDEN:AWS:13",8
"234","BILLEFJORDEN:AWS:19",8
