"","SITE","LONG"
"1","ALEXFIORD",-75.78341
"2","FURI",12.6375
"3","LOGH",12.34458
"4","LORI",12.27236
"5","RIRI",17.53611
"6","INCLINE_SKJ",6.41504
"7","INCLINE_ULV",8.12343
"8","INCLINE_LAV",7.27596
"9","INCLINE_GUD",7.17561
"10","BILLEFJORDEN",16.45535
"11","PYRAMIDEN",16.19464
"12","ABISKO",18.49582
"13","ANWR",-144.8089944
"14","THUFUVER",-18.6
"15","WOLFCREEK",-135.13
"16","JOATKA",23.98744
"17","DISKO",-53.45
"18","KILPISJARVI",20.8199
"19","LATNJA",18.49531
"20","SADVENT",15.93
"21","TOOLIK",-149.61
"22","KANGER",-50.344
"23","ZACKENBERG",-20.52895
"24","BROOKS",-143.7246513
"25","ENDALEN",15.74496
"26","KYTALYK",147.475778
"27","TORNGATS",-63.375
"28","AUDKULUHEIDI",-19.71319
"29","THINGVELLIR",-21.06941
"30","QHI",-138.86347
"31","ATQASUK",-157.4073879
"32","BARROW",-156.6010247
