"","SiteSubsitePlot","SITE"
"1","ALEXFIORD:CASSIOPE_COVER:ALL","ALEXFIORD"
"2","FURI:FURI4:FURI4_T1","FURI"
"3","FURI:FURI4:FURI4_T10","FURI"
"4","FURI:FURI4:FURI4_T11","FURI"
"5","FURI:FURI4:FURI4_T12","FURI"
"6","FURI:FURI4:FURI4_T13","FURI"
"7","FURI:FURI4:FURI4_T14","FURI"
"8","FURI:FURI4:FURI4_T15","FURI"
"9","FURI:FURI4:FURI4_T16","FURI"
"10","FURI:FURI4:FURI4_T17","FURI"
"11","FURI:FURI4:FURI4_T18","FURI"
"12","FURI:FURI4:FURI4_T19","FURI"
"13","FURI:FURI4:FURI4_T2","FURI"
"14","FURI:FURI4:FURI4_T20","FURI"
"15","FURI:FURI4:FURI4_T3","FURI"
"16","FURI:FURI4:FURI4_T4","FURI"
"17","FURI:FURI4:FURI4_T5","FURI"
"18","FURI:FURI4:FURI4_T6","FURI"
"19","FURI:FURI4:FURI4_T7","FURI"
"20","FURI:FURI4:FURI4_T8","FURI"
"21","FURI:FURI4:FURI4_T9","FURI"
"22","FURI:FURI5:FURI5_T1","FURI"
"23","FURI:FURI5:FURI5_T10","FURI"
"24","FURI:FURI5:FURI5_T11","FURI"
"25","FURI:FURI5:FURI5_T12","FURI"
"26","FURI:FURI5:FURI5_T13","FURI"
"27","FURI:FURI5:FURI5_T14","FURI"
"28","FURI:FURI5:FURI5_T15","FURI"
"29","FURI:FURI5:FURI5_T16","FURI"
"30","FURI:FURI5:FURI5_T17","FURI"
"31","FURI:FURI5:FURI5_T18","FURI"
"32","FURI:FURI5:FURI5_T19","FURI"
"33","FURI:FURI5:FURI5_T2","FURI"
"34","FURI:FURI5:FURI5_T20","FURI"
"35","FURI:FURI5:FURI5_T3","FURI"
"36","FURI:FURI5:FURI5_T4","FURI"
"37","FURI:FURI5:FURI5_T5","FURI"
"38","FURI:FURI5:FURI5_T6","FURI"
"39","FURI:FURI5:FURI5_T7","FURI"
"40","FURI:FURI5:FURI5_T8","FURI"
"41","FURI:FURI5:FURI5_T9","FURI"
"42","FURI:FURI6:FURI6_T1","FURI"
"43","FURI:FURI6:FURI6_T10","FURI"
"44","FURI:FURI6:FURI6_T11","FURI"
"45","FURI:FURI6:FURI6_T12","FURI"
"46","FURI:FURI6:FURI6_T13","FURI"
"47","FURI:FURI6:FURI6_T14","FURI"
"48","FURI:FURI6:FURI6_T15","FURI"
"49","FURI:FURI6:FURI6_T16","FURI"
"50","FURI:FURI6:FURI6_T17","FURI"
"51","FURI:FURI6:FURI6_T18","FURI"
"52","FURI:FURI6:FURI6_T19","FURI"
"53","FURI:FURI6:FURI6_T2","FURI"
"54","FURI:FURI6:FURI6_T20","FURI"
"55","FURI:FURI6:FURI6_T3","FURI"
"56","FURI:FURI6:FURI6_T4","FURI"
"57","FURI:FURI6:FURI6_T5","FURI"
"58","FURI:FURI6:FURI6_T6","FURI"
"59","FURI:FURI6:FURI6_T7","FURI"
"60","FURI:FURI6:FURI6_T8","FURI"
"61","FURI:FURI6:FURI6_T9","FURI"
"62","LOGH:LOGH2:LOGH2_T1","LOGH"
"63","LOGH:LOGH2:LOGH2_T10","LOGH"
"64","LOGH:LOGH2:LOGH2_T11","LOGH"
"65","LOGH:LOGH2:LOGH2_T12","LOGH"
"66","LOGH:LOGH2:LOGH2_T2","LOGH"
"67","LOGH:LOGH2:LOGH2_T3","LOGH"
"68","LOGH:LOGH2:LOGH2_T4","LOGH"
"69","LOGH:LOGH2:LOGH2_T5","LOGH"
"70","LOGH:LOGH2:LOGH2_T6","LOGH"
"71","LOGH:LOGH2:LOGH2_T7","LOGH"
"72","LOGH:LOGH2:LOGH2_T8","LOGH"
"73","LOGH:LOGH2:LOGH2_T9","LOGH"
"74","LOGH:LOGH4:LOGH4_T1","LOGH"
"75","LOGH:LOGH4:LOGH4_T10","LOGH"
"76","LOGH:LOGH4:LOGH4_T11","LOGH"
"77","LOGH:LOGH4:LOGH4_T12","LOGH"
"78","LOGH:LOGH4:LOGH4_T2","LOGH"
"79","LOGH:LOGH4:LOGH4_T3","LOGH"
"80","LOGH:LOGH4:LOGH4_T4","LOGH"
"81","LOGH:LOGH4:LOGH4_T5","LOGH"
"82","LOGH:LOGH4:LOGH4_T6","LOGH"
"83","LOGH:LOGH4:LOGH4_T7","LOGH"
"84","LOGH:LOGH4:LOGH4_T8","LOGH"
"85","LOGH:LOGH4:LOGH4_T9","LOGH"
"86","LOGH:LOGH5:LOGH5_T1","LOGH"
"87","LOGH:LOGH5:LOGH5_T10","LOGH"
"88","LOGH:LOGH5:LOGH5_T11","LOGH"
"89","LOGH:LOGH5:LOGH5_T12","LOGH"
"90","LOGH:LOGH5:LOGH5_T2","LOGH"
"91","LOGH:LOGH5:LOGH5_T3","LOGH"
"92","LOGH:LOGH5:LOGH5_T4","LOGH"
"93","LOGH:LOGH5:LOGH5_T5","LOGH"
"94","LOGH:LOGH5:LOGH5_T6","LOGH"
"95","LOGH:LOGH5:LOGH5_T7","LOGH"
"96","LOGH:LOGH5:LOGH5_T8","LOGH"
"97","LOGH:LOGH5:LOGH5_T9","LOGH"
"98","LORI:LORI1:LORI1_T1","LORI"
"99","LORI:LORI1:LORI1_T10","LORI"
"100","LORI:LORI1:LORI1_T11","LORI"
"101","LORI:LORI1:LORI1_T12","LORI"
"102","LORI:LORI1:LORI1_T13","LORI"
"103","LORI:LORI1:LORI1_T14","LORI"
"104","LORI:LORI1:LORI1_T15","LORI"
"105","LORI:LORI1:LORI1_T16","LORI"
"106","LORI:LORI1:LORI1_T17","LORI"
"107","LORI:LORI1:LORI1_T18","LORI"
"108","LORI:LORI1:LORI1_T19","LORI"
"109","LORI:LORI1:LORI1_T2","LORI"
"110","LORI:LORI1:LORI1_T20","LORI"
"111","LORI:LORI1:LORI1_T3","LORI"
"112","LORI:LORI1:LORI1_T4","LORI"
"113","LORI:LORI1:LORI1_T5","LORI"
"114","LORI:LORI1:LORI1_T6","LORI"
"115","LORI:LORI1:LORI1_T7","LORI"
"116","LORI:LORI1:LORI1_T8","LORI"
"117","LORI:LORI1:LORI1_T9","LORI"
"118","LORI:LORI3:LORI3_T1","LORI"
"119","LORI:LORI3:LORI3_T10","LORI"
"120","LORI:LORI3:LORI3_T11","LORI"
"121","LORI:LORI3:LORI3_T12","LORI"
"122","LORI:LORI3:LORI3_T13","LORI"
"123","LORI:LORI3:LORI3_T14","LORI"
"124","LORI:LORI3:LORI3_T15","LORI"
"125","LORI:LORI3:LORI3_T16","LORI"
"126","LORI:LORI3:LORI3_T17","LORI"
"127","LORI:LORI3:LORI3_T18","LORI"
"128","LORI:LORI3:LORI3_T19","LORI"
"129","LORI:LORI3:LORI3_T2","LORI"
"130","LORI:LORI3:LORI3_T20","LORI"
"131","LORI:LORI3:LORI3_T3","LORI"
"132","LORI:LORI3:LORI3_T4","LORI"
"133","LORI:LORI3:LORI3_T5","LORI"
"134","LORI:LORI3:LORI3_T6","LORI"
"135","LORI:LORI3:LORI3_T7","LORI"
