"","SPECIES_CLEAN","Zone_A","Zone_B","Zone_C","Zone_D","Zone_E","BorealSpecies","ArcticSpecies","ArcticEndemic","BorderlineSpecies","Acronym","Class","ClassNew"
"1","Cassiope tetragona","No","?","F","F","F","F",1,"",NA,"No_?_F_F_F_F","Cosmopolitan","Ubiquitous"
"2","Dryas integrifolia","No","R","F","F","F","F",1,"",NA,"No_R_F_F_F_F","Cosmopolitan","Ubiquitous"
"3","Luzula nivalis","F","F","F","F","S","R",1,"",NA,"F_F_F_F_S_R","High_Low_Arctic","Arctic specialist"
"4","Luzula confusa","F","F","F","F","F","S",1,"",NA,"F_F_F_F_F_S","Cosmopolitan","Ubiquitous"
"5","Oxyria digyna","F","F","F","F","F","F",1,"",NA,"F_F_F_F_F_F","Cosmopolitan","Ubiquitous"
"6","Salix arctica","No","S","F","F","F","F",1,"",NA,"No_S_F_F_F_F","Cosmopolitan","Ubiquitous"
"7","Calluna vulgaris","No","No","No","No","F","F",1,"",NA,"No_No_No_No_F_F","Low_Arctic_Boreal","Boreal-tundra boundary"
"8","Empetrum nigrum","No","R","S","F","F","F",1,"",NA,"No_R_S_F_F_F","Cosmopolitan","Ubiquitous"
"9","Phyllodoce caerulea","No","No","No","?","F","F",1,"",NA,"No_No_No_?_F_F","Low_Arctic_Boreal","Boreal-tundra boundary"
"10","Vaccinium myrtillus","No","No","No","F","F","F",1,"",NA,"No_No_No_F_F_F","Low_Arctic_Boreal","Boreal-tundra boundary"
"11","Vaccinium vitis-idaea","No","?","R","F","F","F",1,"",NA,"No_?_R_F_F_F","Low_Arctic_Boreal","Boreal-tundra boundary"
"12","Juniperus communis","No","No","No","R","F","F",1,"",NA,"No_No_No_R_F_F","Low_Arctic_Boreal","Boreal-tundra boundary"
"13","Betula nana","No","No","R","S","F","F",1,"",NA,"No_No_R_S_F_F","Low_Arctic_Boreal","Boreal-tundra boundary"
"14","Arctous alpina","No","No","S","F","F","F",1,"",NA,"No_No_S_F_F_F","Cosmopolitan","Ubiquitous"
"15","Hieracium alpinum","No","No","?","F","F","F",1,"",NA,"No_No_?_F_F_F","Low_Arctic_Boreal","Boreal-tundra boundary"
