"","SPECIES_CLEAN","ClassNew","Synonym","family","FunctionalGroup","Woodiness","Deciduousness","BerryCat","N_fixer","PlantHeight","SLA","SeedMass","LeafN","LeafCN"
"1","Cassiope tetragona","Ubiquitous",NA,"Ericaceae","Shrub",1,"Evergreen","Not berry",0,0.0854478021978022,5.9382566763072,NA,11.1853105860105,55.1211588171429
"2","Dryas integrifolia","Ubiquitous",NA,"Rosaceae","Shrub",1,"Evergreen","Not berry",0,0.0573866666666667,9.26923472663955,0.221325449609756,13.9417,NA
"3","Luzula nivalis","Arctic specialist",NA,"Juncaceae","Graminoid",0,"Not applicable","Not berry",0,0.10414552238806,11.2301500653634,0.169811550857143,17.9066666666667,26.2555560668798
"4","Luzula confusa","Ubiquitous",NA,"Juncaceae","Graminoid",0,"Not applicable","Not berry",0,0.116708196721311,NA,0.200566037735849,17.627213793,30.95598382
"5","Oxyria digyna","Ubiquitous",NA,"Polygonaceae","Forb",0,"Not applicable","Not berry",0,0.173928571428571,16.3389174318347,0.831848995973154,33.00113986,NA
"6","Salix arctica","Ubiquitous",NA,"Salicaceae","Shrub",1,"Deciduous","Not berry",0,0.0413069139966273,11.6120953767874,0.191796982148148,23.411766744186,NA
"7","Calluna vulgaris","Boreal-tundra boundary",NA,"Ericaceae","Shrub",1,"Evergreen","Not berry",0,0.170161016949153,11.7952567056652,0.0344,13.8289911197779,36.3475201577525
"8","Empetrum nigrum","Ubiquitous",NA,"Ericaceae","Shrub",1,"Evergreen","Berry",0,0.100249824067558,6.5092244141233,0.979771929842105,10.4479863124892,55.9842451671199
"9","Phyllodoce caerulea","Boreal-tundra boundary",NA,"Ericaceae","Shrub",1,"Evergreen","Not berry",0,0.0673737024221453,9.05081524065271,3.63181304347826,10.494,NA
"10","Vaccinium myrtillus","Boreal-tundra boundary",NA,"Ericaceae","Shrub",1,"Deciduous","Berry",0,0.0887548387096774,19.3141944831433,0.249256140368421,19.3242325531017,26.4843522086646
"11","Vaccinium vitis-idaea","Boreal-tundra boundary",NA,"Ericaceae","Shrub",1,"Evergreen","Berry",0,0.0478397057666588,6.81343973952801,0.268385714333333,10.4515124088765,50.0964551110597
"12","Juniperus communis","Boreal-tundra boundary",NA,"Cupressaceae","Shrub",1,"Evergreen","Berry",0,0.5964,6.4133051609756,NA,11.7461177032479,51.9348322253647
"13","Betula nana","Boreal-tundra boundary",NA,"Betulaceae","Shrub",1,"Deciduous","Not berry",0,0.190244885162492,12.2890676446865,0.232845238142857,21.4618978854051,27.2721803659333
"14","Arctous alpina","Ubiquitous",NA,"Ericaceae","Shrub",1,"Deciduous","Berry",0,0.0502285714285714,12.8204774669231,NA,NA,NA
"15","Hieracium alpinum","Boreal-tundra boundary",NA,"Asteraceae","Forb",0,"Not applicable","Not berry",0,0.130257575757576,21.3028474836964,NA,NA,NA
"16","Solidago virgaurea","Boreal-tundra boundary",NA,"Asteraceae","Forb",0,"Not applicable","Not berry",0,0.122413349917081,25.9238036699989,0.446170833375,28.964962962963,NA
