"","X","SiteSubsite","LAT","LONG","DistanceToTreeline","ElevationSubsite","ElevationTreeline","Interrupted","biome","notes","ElevationDifference","DistanceTreelineCorrected","InterruptedCorrected"
"1",66,"ABISKO:ABISKODRY_PADDUS",68.1933,18.5115,3158,773,762,"mountain ridge",6,"alpine site",11,3158.01915763663,"Mountains"
"2",65,"ABISKO:ABISKOWET_FLUX",68.20462,18.49582,1784,991,762,"mountain ridge",6,"alpine site; same coordinates for 27 and 71",229,1798.63753991737,"Mountains"
"3",20,"ABISKO:ABISKOWET_MULTE",68.20462,18.49582,1784,991,762,"mountain ridge",6,"alpine site; same coordinates for 27 and 71",229,1798.63753991737,"Mountains"
"4",51,"ABISKO:lower_forest",68.3284,18.8356,0,508,508,"no",6,"at treeline",0,0,"Uninterrupted"
"5",52,"ABISKO:lower_tundra",68.3244,18.8417,17,532,532,"no",6,"at treeline",0,17,"Uninterrupted"
"6",21,"ABISKO:PEATLAND",68.358087,18.812886,5,344,344,"no",6,"at treeline",0,5,"Uninterrupted"
"7",53,"ABISKO:upper_forest",68.3145,18.858,0,594,594,"no",6,"at treeline",0,0,"Uninterrupted"
"8",54,"ABISKO:upper_tundra",68.3133,18.863,33,600,604,"no",6,"at treeline",-4,33.2415402771893,"Uninterrupted"
"9",100,"ALEXFIORD:CASSIOPE",78.87448,-75.78341,1821240,36,348,"ocean",11,"based on CAVM (treeline elevation approx)",-312,1821240,"Large water bodies"
"10",1,"ALEXFIORD:CASSIOPE_COVER",78.87448,-75.78341,1821240,36,348,"ocean",11,"based on CAVM (treeline elevation approx)",-312,1821240,"Large water bodies"
"11",98,"ALEXFIORD:DOMEDOLOMITE",78.86221,-75.90053,1821240,491,348,"ocean",11,"based on CAVM (treeline elevation approx)",143,1821240,"Large water bodies"
"12",97,"ALEXFIORD:DOMEGRANITE",78.86192,-75.90385,1821240,493,348,"ocean",11,"based on CAVM (treeline elevation approx)",145,1821240,"Large water bodies"
"13",99,"ALEXFIORD:DRYAS",78.8719,-75.7826,1821240,55,348,"ocean",11,"based on CAVM (treeline elevation approx)",-293,1821240,"Large water bodies"
"14",96,"ALEXFIORD:FERT",78.87107,-75.79107,1821240,67,348,"ocean",11,"based on CAVM (treeline elevation approx)",-281,1821240,"Large water bodies"
"15",94,"ALEXFIORD:MEADOW",78.87558,-75.80909,1821240,58,348,"ocean",11,"based on CAVM (treeline elevation approx)",-290,1821240,"Large water bodies"
"16",95,"ALEXFIORD:WILLOW",78.87421,-75.79867,1821240,58,348,"ocean",11,"based on CAVM (treeline elevation approx)",-290,1821240,"Large water bodies"
"17",82,"ANWR:ATIGUN-A",68.4746405,-149.3521345,55542,1170,793,"mountain range",11,"based on CAVM (treeline elevation approx)",377,55542,"Mountains"
"18",83,"ANWR:ATIGUN-B",68.4759725,-149.352222,55542,1188,793,"mountain range",11,"based on CAVM (treeline elevation approx)",395,55542,"Mountains"
"19",84,"ANWR:ATIGUN-C",68.454758,-149.319503,55542,939,793,"mountain range",11,"based on CAVM (treeline elevation approx)",146,55542,"Mountains"
"20",22,"ANWR:C2",69.9535,-144.8089944,140668,31,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-635,140668,"Mountains"
"21",23,"ANWR:H1",69.656,-144.1926883,105669,257,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-409,105669,"Mountains"
"22",24,"ANWR:H3",69.8501,-144.1083833,126132,95,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-571,126132,"Mountains"
"23",25,"ANWR:H4",69.9599,-144.0597167,137239,48,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-618,137239,"Mountains"
"24",26,"ANWR:H5",69.9467,-144.0644667,137239,52,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-614,137239,"Mountains"
"25",85,"ANWR:JAGO-A",69.70312,-143.626875,108638,185,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-481,108638,"Mountains"
"26",86,"ANWR:JAGO-B",69.71159,-143.616045,108638,163,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-503,108638,"Mountains"
"27",27,"ANWR:K1",70.0803,-143.1433333,152498,7,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-659,152498,"Mountains"
"28",28,"ANWR:K2",70.083556,-143.141944,152498,4,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-662,152498,"Mountains"
"29",29,"ANWR:K3",70.084,-143.1358333,152498,4,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-662,152498,"Mountains"
"30",30,"ANWR:M10",69.7958,-144.809025,124848,210,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-456,124848,"Mountains"
"31",31,"ANWR:M11",69.7977,-144.8061194,124848,212,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-454,124848,"Mountains"
"32",32,"ANWR:M4",69.789,-144.81572,125837,213,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-453,125837,"Mountains"
"33",33,"ANWR:M7S",69.7981,-144.83792,123668,210,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-456,123668,"Mountains"
"34",34,"ANWR:N11",69.8937,-142.8705,132568,83,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-583,132568,"Mountains"
"35",35,"ANWR:O11",69.9711,-143.90396,135413,36,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-630,135413,"Mountains"
"36",36,"ANWR:O12",69.971,-143.90482,135413,36,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-630,135413,"Mountains"
"37",37,"ANWR:O13",69.8307,-143.7787667,123455,99,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-567,123455,"Mountains"
"38",38,"ANWR:O15",69.8269,-143.7653167,123455,99,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-567,123455,"Mountains"
"39",39,"ANWR:O18",69.9699,-143.94212,136273,38,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-628,136273,"Mountains"
"40",40,"ANWR:O19",69.97,-143.9387361,136273,38,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-628,136273,"Mountains"
"41",41,"ANWR:O3",69.9698,-143.9126,135350,36,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-630,135350,"Mountains"
"42",42,"ANWR:O6",69.9754,-144.05095,136564,34,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-632,136564,"Mountains"
"43",43,"ANWR:O7",69.9775,-144.01674,136564,31,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-635,136564,"Mountains"
"44",44,"ANWR:S1",69.6954,-144.3603167,109723,279,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-387,109723,"Mountains"
"45",45,"ANWR:S4",69.7059,-144.3684167,110736,232,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-434,110736,"Mountains"
"46",46,"ANWR:S6",69.7327,-144.3397667,114105,201,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-465,114105,"Mountains"
"47",47,"ANWR:S8",69.7304,-144.3366167,114105,208,666,"mountain range",11,"based on CAVM (treeline elevation approx)",-458,114105,"Mountains"
"48",108,"ATQASUK:AD",70.45373011,-157.4073879,402915,21,34,"mountain range",11,"based on CAVM (treeline elevation approx)",-13,402915,"Mountains"
"49",112,"ATQASUK:AG",70.451449,-157.403942,402915,22,34,"mountain range",11,"based on CAVM (treeline elevation approx)",-12,402915,"Mountains"
"50",109,"ATQASUK:AW",70.45303348,-157.4003018,402915,17,34,"mountain range",11,"based on CAVM (treeline elevation approx)",-17,402915,"Mountains"
"51",104,"AUDKULUHEIDI:BETULAHEATH",65.21748,-19.71319,16960,478,450,"little lakes",6,"alpine site",28,16960.0231131918,"Small water bodies"
"52",110,"BARROW:BD",71.31502696,-156.6010247,507763,7,34,"mountain range",11,"based on CAVM (treeline elevation approx)",-27,507763,"Mountains"
"53",113,"BARROW:BG",71.310312,-156.592799,507763,4,34,"mountain range",11,"based on CAVM (treeline elevation approx)",-30,507763,"Mountains"
"54",111,"BARROW:BW",71.31051842,-156.5978987,507763,4,34,"mountain range",11,"based on CAVM (treeline elevation approx)",-30,507763,"Mountains"
"55",2,"BILLEFJORDEN:AWS",78.71061,16.45535,896213,54,300,"ocean",11,"based on CAVM (treeline elevation approx)",-246,896213,"Large water bodies"
"56",87,"BROOKS:SHEEN-B",68.5734993,-143.7246513,3842,883,845,"no",11,"based on CAVM (treeline elevation approx)",38,3842,"Uninterrupted"
"57",59,"DISKO:DISTURBANCE",69.27,-53.45,1210757,122,252,"ocean",11,"based on CAVM (treeline elevation approx)",-130,1210757,"Large water bodies"
"58",88,"ENDALEN:BIS-H",78.18557,15.74496,851561,77,300,"ocean",11,"based on CAVM (treeline elevation approx)",-223,851561,"Large water bodies"
"59",103,"ENDALEN:BIS-L",78.18557,15.74496,851561,77,300,"ocean",11,"based on CAVM (treeline elevation approx)",-223,851561,"Large water bodies"
"60",89,"ENDALEN:CAS-H",78.18557,15.74496,851561,77,300,"ocean",11,"based on CAVM (treeline elevation approx)",-223,851561,"Large water bodies"
"61",102,"ENDALEN:CAS-L",78.18557,15.74496,851561,77,300,"ocean",11,"based on CAVM (treeline elevation approx)",-223,851561,"Large water bodies"
"62",90,"ENDALEN:DRY-H",78.18557,15.74496,851561,77,300,"ocean",11,"based on CAVM (treeline elevation approx)",-223,851561,"Large water bodies"
"63",101,"ENDALEN:DRY-L",78.18557,15.74496,851561,77,300,"ocean",11,"based on CAVM (treeline elevation approx)",-223,851561,"Large water bodies"
"64",4,"FURI:FURI4",61.63542,12.6375,341,925,896,"no",6,"alpine site",29,342.230916195483,"Uninterrupted"
"65",5,"FURI:FURI5",61.63542,12.6375,341,925,896,"no",6,"alpine site",29,342.230916195483,"Uninterrupted"
"66",6,"FURI:FURI6",61.63542,12.6375,341,925,896,"no",6,"alpine site",29,342.230916195483,"Uninterrupted"
"67",19,"INCLINE_GUD:GUD",60.8328,7.17561,982,1237,950,"no",6,"alpine site",287,1023.08015326269,"Uninterrupted"
"68",18,"INCLINE_LAV:LAV",60.8231,7.27596,34,1090,1074,"no",6,"alpine site",16,37.5765884561119,"Uninterrupted"
"69",16,"INCLINE_SKJ:SKJ",60.9335,6.41504,5002,1113,850,"no",6,"alpine site",263,5008.90936232629,"Uninterrupted"
"70",17,"INCLINE_ULV:ULV",61.0243,8.12343,5290,1220,1063,"no",6,"alpine site",157,5292.32926035408,"Uninterrupted"
"71",55,"JOATKA:lower_forest",69.74879,23.98744,0,420,420,"no",6,"image unclear we assume it is at treeline based on site name",0,0,"Uninterrupted"
"72",56,"JOATKA:lower_tundra",69.75137,23.98674,288,418,420,"no",6,"distance to point 61",-2,288.006944360722,"Uninterrupted"
"73",57,"JOATKA:upper_forest",69.74737,23.99619,0,438,438,"no",6,"image unclear we assume it is at treeline based on site name",0,0,"Uninterrupted"
"74",58,"JOATKA:upper_tundra",69.75033,23.99425,310,424,420,"no",6,"distance to point 61",4,310.025805377552,"Uninterrupted"
"75",71,"KANGER:DOPEY",67.1103,-50.344,1114596,284,252,"ocean",11,"based on CAVM (treeline elevation approx)",32,1114596,"Large water bodies"
"76",72,"KANGER:SNEEZY",67.11377,-50.337,1114596,300,252,"ocean",11,"based on CAVM (treeline elevation approx)",48,1114596,"Large water bodies"
"77",60,"KILPISJARVI:KILPISJARVI",69.068,20.8199,1335,700,584,"no",6,"alpine site",116,1340.03022353975,"Uninterrupted"
"78",91,"KYTALYK:LAKEBED",70.81,147.475778,26700,13,176,"many little lakes",11,"based on CAVM (treeline elevation approx)",-163,26700,"Small water bodies"
"79",61,"LATNJA:DRY_HEATH",68.35572,18.49531,1778,998,817,"no",6,"alpine site",181,1787.18913380761,"Uninterrupted"
"80",62,"LATNJA:DRY_MEADOW",68.35683,18.49756,1916,1021,817,"no",6,"alpine site",204,1926.82952022227,"Uninterrupted"
"81",68,"LATNJA:POOR_HEATH",68.35,18.49,1124,959,818,"no",6,"alpine site",141,1132.80933965076,"Uninterrupted"
"82",69,"LATNJA:RICH_MEADOW",68.35,18.65,641,970,797,"no",6,"alpine site",173,663.935237805616,"Uninterrupted"
"83",64,"LATNJA:TUSSOCK_TUNDRA",68.3551536,18.4913635,1712,982,817,"no",6,"alpine site; same coordinates for 69 and 70",165,1719.93284752632,"Uninterrupted"
"84",63,"LATNJA:WET_MEADOW",68.3551536,18.4913635,1712,982,817,"no",6,"alpine site; same coordinates for 69 and 70",165,1719.93284752632,"Uninterrupted"
"85",7,"LOGH:LOGH2",62.10253,12.34458,995,975,890,"no",6,"alpine site",85,998.624053385457,"Uninterrupted"
"86",8,"LOGH:LOGH4",62.10253,12.34458,995,975,890,"no",6,"alpine site",85,998.624053385457,"Uninterrupted"
"87",9,"LOGH:LOGH5",62.10253,12.34458,995,975,890,"no",6,"alpine site",85,998.624053385457,"Uninterrupted"
"88",10,"LORI:LORI1",62.11508,12.27236,333,839,819,"no",6,"alpine site",20,333.600059952033,"Uninterrupted"
"89",11,"LORI:LORI3",62.11508,12.27236,333,839,819,"no",6,"alpine site",20,333.600059952033,"Uninterrupted"
"90",12,"LORI:LORI4",62.11508,12.27236,333,839,819,"no",6,"alpine site",20,333.600059952033,"Uninterrupted"
"91",3,"PYRAMIDEN:PYR",78.64935,16.19464,897179,27,300,"ocean",11,"based on CAVM (treeline elevation approx)",-273,897179,"Large water bodies"
"92",106,"QHI:HE",69.57488,-138.86347,106570,50,878,"small sea and lakes",11,"based on CAVM (treeline elevation approx)",-828,106570,"Small water bodies"
"93",107,"QHI:KO",69.57646,-138.86774,106570,49,878,"small sea and lakes",11,"based on CAVM (treeline elevation approx)",-829,106570,"Small water bodies"
"94",13,"RIRI:RIRI2",67.77306,17.53611,2846,839,671,"no",6,"alpine site",168,2850.95422621971,"Uninterrupted"
"95",14,"RIRI:RIRI4",67.77306,17.53611,2846,839,671,"no",6,"alpine site",168,2850.95422621971,"Uninterrupted"
"96",15,"RIRI:RIRI6",67.77306,17.53611,2846,839,671,"no",6,"alpine site",168,2850.95422621971,"Uninterrupted"
"97",67,"SADVENT:MES_POINTFRAME",78.19,15.93,858547,5,300,"ocean",11,"based on CAVM (treeline elevation approx)",-295,858547,"Large water bodies"
"98",105,"THINGVELLIR:MOSS HEATH",64.28083,-21.06941,52,131,132,"no",6,"based on Google Earth",-1,52.0096144957834,"Uninterrupted"
"99",48,"THUFUVER:PALSA",64.57,-18.6,80265,585,301,"small lakes and glacial river",6,"based on Google Earth",284,80265.5024341093,"Small water bodies"
"100",49,"THUFUVER:SALIXHEATH",64.57,-18.6,80265,585,301,"small lakes and glacial river",6,"based on Google Earth",284,80265.5024341093,"Small water bodies"
"101",79,"TOOLIK:DRY",68.62,-149.61,71590,770,793,"mountain range",11,"based on CAVM (treeline elevation approx)",-23,71590,"Mountains"
"102",80,"TOOLIK:IMNAVAIT",68.62,-149.28,74598,963,793,"mountain range",11,"based on CAVM (treeline elevation approx)",170,74598,"Mountains"
"103",70,"TOOLIK:MOIST",68.62,-149.61,71590,770,793,"mountain range",11,"based on CAVM (treeline elevation approx)",-23,71590,"Mountains"
"104",81,"TOOLIK:TUSSOCKGRID",68.62,-149.61,71590,770,793,"mountain range",11,"based on CAVM (treeline elevation approx)",-23,71590,"Mountains"
"105",92,"TORNGATS:NAKVAKDRY",58.63917,-63.375,39685,336,289,"no",6,"alpine site, treeline coordinates provided by Andrew",47,39685.0278316647,"Uninterrupted"
"106",93,"TORNGATS:NAKVAKWET",58.63917,-63.375,39685,336,289,"no",6,"alpine site, treeline coordinates provided by Andrew",47,39685.0278316647,"Uninterrupted"
"107",50,"WOLFCREEK:WOLFCREEK",61.56,-135.13,419,667,654,"no",6,"alpine site",13,419.201622134266,"Uninterrupted"
"108",73,"ZACKENBERG:ABRASION PLATEAU",74.47427,-20.52895,928558,58,260,"ocean",11,"based on CAVM (treeline elevation approx)",-202,928558,"Large water bodies"
"109",74,"ZACKENBERG:CASSIOPE TETRAGONA HEATH",74.47427,-20.52895,928558,58,260,"ocean",11,"based on CAVM (treeline elevation approx)",-202,928558,"Large water bodies"
"110",75,"ZACKENBERG:FEN",74.47427,-20.52895,928558,58,260,"ocean",11,"based on CAVM (treeline elevation approx)",-202,928558,"Large water bodies"
"111",76,"ZACKENBERG:GRASSLAND",74.47427,-20.52895,928558,58,260,"ocean",11,"based on CAVM (treeline elevation approx)",-202,928558,"Large water bodies"
"112",77,"ZACKENBERG:SALIX ARCTICA SNOWBED",74.47427,-20.52895,928558,58,260,"ocean",11,"based on CAVM (treeline elevation approx)",-202,928558,"Large water bodies"
